               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.072967,            0.050029,            0.016943,              0.4348,             0.36777,             0.33118,             0.12405,            0.059613,            0.020964,           0.0035107,             0.07006,           0.0033267,           0.0033267
                   1,            0.059101,            0.047601,           0.0066953,             0.44281,             0.34859,             0.32379,             0.12195,            0.060045,            0.022125,           0.0061077,            0.040049,           0.0066491,           0.0066491
                   2,            0.056786,             0.04811,           0.0063437,             0.39684,             0.34656,             0.29374,             0.10463,            0.061164,            0.023024,           0.0038615,            0.010027,           0.0099604,           0.0099604
                   3,             0.05569,            0.047983,           0.0058244,              0.4761,             0.41454,             0.39138,             0.14753,            0.057127,            0.021919,           0.0023572,           0.0099505,           0.0099505,           0.0099505
                   4,            0.053495,            0.046806,           0.0050047,             0.48062,             0.44326,              0.4136,             0.15838,            0.055951,            0.021638,           0.0016409,           0.0099505,           0.0099505,           0.0099505
                   5,            0.052516,            0.046582,           0.0046435,             0.49851,             0.47479,              0.4444,             0.17901,            0.054258,            0.022019,           0.0012582,            0.009934,            0.009934,            0.009934
                   6,            0.051678,            0.045594,           0.0043515,             0.54849,             0.47521,             0.46539,             0.18489,            0.054782,            0.020982,           0.0020436,           0.0099175,           0.0099175,           0.0099175
                   7,            0.050777,            0.045241,           0.0040505,             0.58198,             0.50834,             0.50931,              0.2195,            0.052306,            0.020683,          0.00094353,            0.009901,            0.009901,            0.009901
                   8,            0.050144,            0.044683,           0.0038701,             0.57003,             0.52794,             0.51871,             0.22183,            0.052375,            0.020524,          0.00095936,           0.0098845,           0.0098845,           0.0098845
                   9,            0.049792,            0.044836,            0.003735,             0.57604,             0.51631,             0.52274,             0.22565,             0.05152,            0.020462,          0.00074951,            0.009868,            0.009868,            0.009868
                  10,            0.049043,             0.04451,           0.0036151,             0.58623,             0.52779,             0.52731,             0.22521,            0.051766,            0.020657,          0.00090794,           0.0098515,           0.0098515,           0.0098515
                  11,            0.048499,            0.044109,           0.0033406,             0.60648,             0.55984,             0.55955,             0.24977,            0.050561,            0.020223,           0.0008848,            0.009835,            0.009835,            0.009835
                  12,            0.048139,            0.043548,           0.0033242,             0.62558,             0.57569,               0.581,             0.26035,            0.050253,            0.019907,          0.00074986,           0.0098185,           0.0098185,           0.0098185
                  13,            0.047516,            0.043414,           0.0032003,             0.64418,             0.57938,             0.59268,             0.26693,            0.049937,            0.019807,          0.00085493,            0.009802,            0.009802,            0.009802
                  14,            0.047253,            0.043342,           0.0030706,             0.63546,             0.60004,             0.60693,             0.27877,            0.049196,            0.019652,          0.00066517,           0.0097855,           0.0097855,           0.0097855
                  15,             0.04681,            0.042906,           0.0030914,             0.63408,             0.59928,             0.60131,             0.27841,            0.049018,            0.019553,          0.00063439,            0.009769,            0.009769,            0.009769
                  16,            0.046677,            0.042593,            0.002909,              0.6523,             0.60115,             0.61355,              0.2859,             0.04867,            0.019525,          0.00070864,           0.0097525,           0.0097525,           0.0097525
                  17,            0.046229,            0.042338,           0.0029069,             0.65612,             0.62311,             0.62397,             0.29714,            0.048145,            0.019392,          0.00080912,            0.009736,            0.009736,            0.009736
                  18,            0.046039,            0.042482,           0.0028791,              0.6592,             0.62857,             0.63088,             0.30019,            0.048032,            0.019287,          0.00069805,           0.0097195,           0.0097195,           0.0097195
                  19,            0.045535,            0.041565,           0.0028172,             0.65454,             0.63888,              0.6325,             0.30435,            0.047695,            0.019273,          0.00066636,            0.009703,            0.009703,            0.009703
                  20,            0.045545,            0.041788,            0.002777,             0.67023,             0.63691,             0.64299,             0.31031,            0.047645,            0.019162,          0.00069702,           0.0096865,           0.0096865,           0.0096865
                  21,            0.045194,             0.04144,           0.0026903,             0.67367,             0.64065,             0.64336,             0.31329,            0.047556,            0.019138,          0.00065209,             0.00967,             0.00967,             0.00967
                  22,            0.044935,             0.04139,           0.0026322,             0.68825,             0.63764,             0.65071,             0.31628,            0.047367,            0.019083,          0.00056616,           0.0096535,           0.0096535,           0.0096535
                  23,            0.044772,            0.041353,           0.0026181,             0.68834,             0.65078,             0.65621,             0.32081,            0.047083,            0.019039,            0.000571,            0.009637,            0.009637,            0.009637
                  24,            0.044571,             0.04104,           0.0024785,             0.68019,             0.65644,             0.65808,              0.3249,            0.046926,            0.018975,           0.0005761,           0.0096205,           0.0096205,           0.0096205
                  25,            0.044458,            0.040614,           0.0025507,             0.69142,              0.6576,             0.66127,             0.32716,            0.046937,            0.018949,          0.00057165,            0.009604,            0.009604,            0.009604
                  26,            0.044264,            0.040696,           0.0025106,              0.6859,             0.66673,             0.66437,             0.32832,            0.046737,            0.018872,          0.00054781,           0.0095875,           0.0095875,           0.0095875
                  27,            0.043921,            0.040452,           0.0024864,             0.69171,             0.66776,             0.66538,             0.33191,            0.046637,            0.018874,          0.00054885,            0.009571,            0.009571,            0.009571
                  28,            0.043704,            0.040674,           0.0023991,             0.69264,             0.66666,             0.66601,               0.334,             0.04654,             0.01884,          0.00055523,           0.0095545,           0.0095545,           0.0095545
                  29,              0.0437,             0.04037,           0.0024238,             0.69724,             0.66366,             0.66965,             0.33693,            0.046412,            0.018827,          0.00054118,            0.009538,            0.009538,            0.009538
                  30,            0.043697,            0.040206,           0.0024295,              0.6939,             0.66617,                0.67,             0.33827,            0.046304,            0.018807,          0.00054876,           0.0095215,           0.0095215,           0.0095215
                  31,            0.043202,            0.040002,           0.0024224,             0.69786,             0.67242,             0.67216,             0.34133,            0.046261,            0.018782,          0.00054776,            0.009505,            0.009505,            0.009505
                  32,            0.043362,            0.040066,           0.0023849,              0.6983,             0.67439,             0.67368,             0.34279,            0.046199,            0.018757,          0.00054479,           0.0094885,           0.0094885,           0.0094885
                  33,            0.043103,            0.039862,            0.002358,             0.69849,             0.67863,             0.67413,             0.34363,            0.046118,            0.018744,          0.00055187,            0.009472,            0.009472,            0.009472
                  34,            0.042864,            0.039929,           0.0023191,             0.69797,             0.68036,             0.67476,             0.34555,            0.046045,            0.018727,          0.00054958,           0.0094555,           0.0094555,           0.0094555
                  35,            0.042848,            0.039389,            0.002252,             0.70027,             0.67928,             0.67562,             0.34682,            0.045976,             0.01871,          0.00054906,            0.009439,            0.009439,            0.009439
                  36,            0.042782,            0.039571,             0.00224,             0.70243,             0.67987,             0.67842,             0.34831,            0.045932,            0.018693,          0.00054951,           0.0094225,           0.0094225,           0.0094225
                  37,            0.042487,            0.039323,           0.0022749,             0.70336,             0.68418,             0.67986,              0.3495,            0.045888,             0.01868,          0.00055311,            0.009406,            0.009406,            0.009406
                  38,            0.042336,            0.039436,           0.0022538,             0.70643,             0.68323,             0.68074,              0.3507,            0.045855,            0.018664,          0.00055895,           0.0093895,           0.0093895,           0.0093895
                  39,            0.042411,            0.039172,           0.0022018,             0.70949,             0.68252,              0.6811,              0.3518,            0.045816,            0.018655,          0.00056284,            0.009373,            0.009373,            0.009373
